locMergedLongLatCarr.TICKET_FARE,locMergedLongLatCarr.Carrier_Frequency_Normalized,locMergedLongLatCarr.Destin_Normalized,locMergedLongLatCarr.Origin_Normalized,locMergedLongLatCarr.Base_Fare_Normalized,locMergedLongLatCarr.Month_Standardization,locMergedLongLatCarr.DAYS_Standardized,locMergedLongLatCarr.Seats_Normalized,locMergedLongLatCarr.DATE_OF_TRAVEL,locMergedLongLatCarr.DATE_OF_PRICEFALL,locMergedLongLatCarr.Carrier_Name,locMergedLongLatCarr.Origin_Loc_Name,locMergedLongLatCarr.Dest_Loc_Name,locMergedLongLatCarr.Origin_Lat,locMergedLongLatCarr.Origin_Long,locMergedLongLatCarr.Destination_Lat,locMergedLongLatCarr.Destination_Long,locMergedLongLatCarr.MONTH_OF_TRAVEL,DAY_OF_TRAVEL,locMergedLongLatCarr.MONTH_OF_PRICEFALL,DAY_OF_PRICEFALL
148.5837483,2.572159985,-0.654570329,-0.815851441,0.053502818,-0.499776,0.111139467,0.449356045,4/19/2015,3/2/2015,Delta Airlines,Dallas/Fort Worth TX,Detroit MI,32.89444444,-97.02972222,42.21666667,-83.34444444,4,19,3,2
123.3142392,1.4575735,-0.323540639,-0.379529185,0.190729943,0.000138,0.282549667,0.168654291,2/24/2015,12/24/2014,Southwest Airlines,San Antonio TX,Las Vegas NV,29.53333333,-98.46944444,36.08,-115.1522222,2,24,12,24
256.8092912,1.4575735,-0.867375129,-0.990380344,2.352856171,0.500138,-0.050783667,-0.282473529,3/14/2015,11/22/2014,Southwest Airlines,Baltimore MD,Los Angeles CA,39.17555556,-76.67138889,33.9425,-118.4080556,3,14,11,22
112.0295297,0.790489189,-0.914665085,-0.932204043,-0.459993606,-0.499862,0.382549667,0.213767073,1/27/2015,12/5/2014,United Airlines,Houston TX,Atlanta GA,29.98333333,-95.34,33.64083333,-84.42722222,1,27,12,5
62.93883957,1.4575735,-0.820085173,-1.077644795,-0.858025853,0.000138,-0.117450333,-0.42031814,2/12/2015,1/8/2015,Southwest Airlines,Fort Lauderdale FL,Orlando FL,26.07416667,-80.15166667,28.43166667,-81.32472222,2,12,1,8
172.8857433,1.4575735,-0.891020107,0.464027178,0.494804495,0.000138,0.182549667,-0.437862,2/21/2015,2/12/2015,Southwest Airlines,Houston TX,Baltimore MD,29.645,-95.27861111,39.17555556,-76.67138889,2,21,2,12
195.3019158,1.4575735,-0.914665085,-0.292264733,1.354007928,0.500138,0.449216333,0.028303414,3/29/2015,2/27/2015,Southwest Airlines,Las Vegas NV,Atlanta GA,36.08,-115.1522222,33.64083333,-84.42722222,3,29,2,27
293.2813372,2.572159985,-0.512700462,0.173145674,2.586743125,0.500138,0.482549667,0.033315945,3/30/2015,12/1/2014,Delta Airlines,New York NY,Burbank CA,40.63861111,-73.77694444,34.2,-118.3577778,3,30,12,1
192.3989506,1.4575735,-0.74915024,0.783996833,1.229337649,-0.499776,-0.322193867,-0.011796837,4/6/2015,1/26/2015,Southwest Airlines,Dallas TX,Seattle WA,32.84694444,-96.85333333,47.44722222,-122.3055556,4,6,1,26
103.4604425,1.4575735,-0.252605706,1.336671691,-0.459102357,0.500138,0.315883,0.183691885,3/25/2015,2/15/2015,Southwest Airlines,Kansas City MO,New Orleans LA,39.2975,-94.71388889,29.99111111,-90.25138889,3,25,2,15
303.2325296,0.790489189,-0.867375129,1.423936143,2.6344204,-0.499776,0.1444728,-0.081972276,4/20/2015,4/5/2015,United Airlines,Kahului HI,Los Angeles CA,20.90055556,-156.4336111,33.9425,-118.4080556,4,20,4,5
84.50357219,1.4575735,-0.299895661,1.394847992,-0.858025853,-0.499862,0.115883,-0.300017388,1/19/2015,1/14/2015,Southwest Airlines,Des Moines IA,Chicago IL,41.53388889,-93.65666667,41.785,-87.75194444,1,19,1,14
187.0582482,1.4575735,-0.867375129,-0.437705485,1.089334471,-0.499862,0.515883,-0.157160246,1/31/2015,10/23/2014,Southwest Airlines,St. Louis MO,Los Angeles CA,38.74722222,-90.36444444,33.9425,-118.4080556,1,31,10,23
263.9794416,1.4575735,-0.323540639,1.103966488,2.194681251,0.500138,-0.484117,0.404243263,3/1/2015,12/10/2014,Southwest Airlines,Albany NY,Las Vegas NV,42.74583333,-73.80527778,36.08,-115.1522222,3,1,12,10
184.3087089,1.4575735,-0.867375129,0.464027178,0.741691678,0.000138,-0.384117,-0.089491073,2/4/2015,11/30/2014,Southwest Airlines,Houston TX,Los Angeles CA,29.645,-95.27861111,33.9425,-118.4080556,2,4,11,30
145.5184756,1.4575735,-0.867375129,0.696732382,0.49238516,-0.499776,0.211139467,0.311511434,4/22/2015,1/23/2015,Southwest Airlines,Austin TX,Los Angeles CA,30.19444444,-97.67,33.9425,-118.4080556,4,22,1,23
98.47309803,2.572159985,-0.914665085,-0.699498839,-0.621827158,-0.499776,0.177806133,0.366649278,4/21/2015,4/2/2015,Delta Airlines,Detroit MI,Atlanta GA,42.21666667,-83.34444444,33.64083333,-84.42722222,4,21,4,2
83.36773101,0.035414231,-0.725505262,-0.321352884,-0.859280764,-0.499776,0.2444728,0.394218201,4/23/2015,4/1/2015,American Airlines,New Orleans LA,Dallas/Fort Worth TX,29.99111111,-90.25138889,32.89444444,-97.02972222,4,23,4,1
65.09531283,2.572159985,-0.654570329,2.092963603,-0.858025853,0.500138,0.015883,0.243842261,3/16/2015,1/16/2015,Delta Airlines,Madison WI,Detroit MI,43.14194444,-89.33694444,42.21666667,-83.34444444,3,16,1,16
118.4060563,0.790489189,-0.843730151,0.114969373,-0.055445521,0.000138,0.149216333,0.020784617,2/20/2015,11/23/2014,United Airlines,Chicago IL,Houston TX,41.97805556,-87.90611111,29.98333333,-95.34,2,20,11,23
116.6363339,0.035414231,-0.725505262,1.482112444,0.153625134,0.500138,0.415883,-0.30502992,3/28/2015,11/27/2014,American Airlines,Jackson WY,Dallas/Fort Worth TX,43.60666667,-110.7369444,32.89444444,-97.02972222,3,28,11,27
76.21750294,1.4575735,-0.512700462,0.754908683,-0.859280764,-0.499776,-0.188860533,-0.452899594,4/10/2015,2/22/2015,Southwest Airlines,San Jose CA,Burbank CA,37.36277778,-121.9405556,34.2,-118.3577778,4,10,2,22
95.2847778,1.4575735,-0.394475573,0.783996833,-0.859280764,-0.499776,-0.022193867,-0.15465398,4/15/2015,1/15/2015,Southwest Airlines,Dallas TX,San Antonio TX,32.84694444,-96.85333333,29.53333333,-98.46944444,4,15,1,15
85.75114037,1.4575735,-0.914665085,-0.844939592,-0.859280764,-0.499776,-0.0555272,-0.435355734,4/14/2015,2/13/2015,Southwest Airlines,Raleigh/Durham NC,Atlanta GA,35.87527778,-78.78194444,33.64083333,-84.42722222,4,14,2,13
184.336099,1.4575735,-0.914665085,-0.466793636,1.080459349,0.000138,-0.317450333,-0.189741699,2/6/2015,10/19/2014,Southwest Airlines,Phoenix AZ,Atlanta GA,33.43611111,-112.0094444,33.64083333,-84.42722222,2,6,10,19
67.2517861,2.572159985,-0.654570329,2.500197709,-0.858025853,0.000138,-0.217450333,0.208754541,2/9/2015,11/27/2014,Delta Airlines,Lexington KY,Detroit MI,38.03972222,-84.60222222,42.21666667,-83.34444444,2,9,11,27
119.3735513,-0.445361782,-0.772795218,1.22031909,0.095069079,0.000138,0.415883,-0.127085058,2/28/2015,12/20/2014,US Air,Miami FL,Philadelphia PA,25.7925,-80.28611111,39.86805556,-75.24861111,2,28,12,20
88.81651872,2.572159985,-0.914665085,-0.08864768,-0.858025853,0.000138,-0.450783667,0.449356045,2/2/2015,12/23/2014,Delta Airlines,Indianapolis IN,Atlanta GA,39.72888889,-86.28166667,33.64083333,-84.42722222,2,2,12,23
84.40522071,2.572159985,-0.914665085,-0.699498839,-0.622732374,0.500138,-0.217450333,-0.36267403,3/9/2015,12/8/2014,Delta Airlines,Detroit MI,Atlanta GA,42.21666667,-83.34444444,33.64083333,-84.42722222,3,9,12,8
144.5910609,2.572159985,-0.630925351,1.22031909,0.220046583,0.000138,0.349216333,0.351611684,2/26/2015,10/26/2014,Delta Airlines,Miami FL,Newark NJ,25.7925,-80.28611111,40.69583333,-74.17166667,2,26,10,26
71.56473262,2.572159985,-0.654570329,-0.437705485,-0.858025853,0.500138,0.015883,0.436824717,3/16/2015,2/7/2015,Delta Airlines,St. Louis MO,Detroit MI,38.74722222,-90.36444444,42.21666667,-83.34444444,3,16,2,7
170.2056388,0.790489189,-0.843730151,-0.961292193,0.723425586,0.000138,-0.017450333,-0.327586311,2/15/2015,11/18/2014,United Airlines,Los Angeles CA,Houston TX,33.9425,-118.4080556,29.98333333,-95.34,2,15,11,18
128.0496501,0.790489189,-0.843730151,-0.612234388,-0.156889172,-0.499776,-0.022193867,-0.34513017,4/15/2015,1/31/2015,United Airlines,Denver CO,Houston TX,39.77444444,-104.8797222,29.98333333,-95.34,4,15,1,31
82.93663059,0.790489189,-0.630925351,0.114969373,-0.40893713,0.500138,-0.084117,0.12855404,3/13/2015,1/22/2015,United Airlines,Chicago IL,Newark NJ,41.97805556,-87.90611111,40.69583333,-74.17166667,3,13,1,22
