"data102.TICKET_FARE","data102.Freq_Normalized","data102.Destin_Value_Normalized","data102.Origin_Value_Normalized","data102.Base_Fare_Normalized","data102.Month_Standardization","data102.DAYS_Standardized","data102.Seats_Normalized","data102.MONTH_NUMBER","data102.DAYS"
191.3293008,-0.339812500804807,1.58621712870958,-0.934120566941728,1.22390883176535,-0.499414666666667,-0.450501244444444,0.221038770258981,1,2
232.1062526,2.32906497,-0.636853951,0.010986509,1.367293402,-0.499804,-0.022151022,-0.20415986,4,15
142.0708552,1.034586203,-0.955012172,0.50085875,0.363984228,0.000196,0.111182311,0.09659202,5,19
78.67718212,1.034586203,0.07288362,-0.421253704,-0.632655574,0.000196,-0.255484356,-0.038746326,5,8
88.13454973,2.32906497,1.908411821,-0.911125945,-0.858678403,0.000196,-0.122151022,0.048972972,5,12
200.6090026,1.06260703857699,-0.500651226169128,-0.604907303785245,1.30186537591139,0.500585333333333,-0.250501244444444,-0.400515114452799,3,8
85.2778308188406,2.1397629686138,-0.125710125205494,-0.656441720801181,-0.471692302406748,0.000283999999999729,0.172209511111111,0.141350649958229,11,21
103.7567,1.79856630479317,-0.0155299674770394,-0.536589556292314,-0.0424138777679278,0.5056,0.139239111111111,0.179273303258145,9,20
91.20407,-0.245888195585124,-0.634787250103864,1.04980155547036,-0.43369235354598,0.00559999999999983,0.0725724444444445,0.339674305764411,8,18
85.75114037,-0.345740171,0.170778457,0.587306792,-0.858678403,-0.499804,-0.122151022,-0.061302717,4,12
102.6950531,1.45576187877595,1.25128763965497,-1.08376295928558,-0.37034866255403,0.000585333333333327,-0.150501244444444,-0.207532658312448,2,11
85.28425,0.520032547961673,0.0921669512406692,-0.474378140144758,-0.361797993149382,0.5056,0.272572444444444,-0.497418426065163,9,24
314.7681308,1.034586203,-0.514485404,1.711131345,2.666857128,0.000196,0.011182311,-0.20415986,5,16
120.875242,-0.591422321039396,2.07572945886631,3.76465055265534,0.185779867955102,0.000585333333333327,0.349498755555556,0.113269346700084,2,26
134.2528523,2.43413674416648,-0.990163556325862,-0.18590860522245,0.0572775112939942,0.500585333333333,-0.183834577777778,-0.00452513951545531,3,10
129.2069,0.520032547961673,-0.392469182989019,-1.1275980096941,0.270617654337093,-0.4944,0.305905777777778,0.284536461152882,7,25
52.1211272330705,2.1397629686138,0.608369885633491,-0.656441720801181,-0.859063779411499,-0.499716,0.438876177777778,-0.465165640768588,10,29
133.3216224,0.0362422334517846,-0.603706453570546,-0.036266212878594,0.279592259492307,0.000585333333333327,-0.117167911111111,0.444096414369256,2,12
123.7077,1.79856630479317,1.68069650232687,-0.536589556292314,0.119784921076458,-0.4944,-0.294094222222222,-0.35706754887218,7,7
68.99564,0.520032547961673,1.54607535392974,-0.474378140144758,-0.843796757965864,0.00559999999999983,-0.427427555555556,0.324636711779449,8,3
66.9690178645639,1.43347578066276,1.75842856928123,1.84340057625533,-0.859063779411499,0.000283999999999729,-0.261123822222222,-0.00401275856307435,11,8
247.3446592,2.43413674416648,-1.14474639742799,-0.634835782254016,1.696939851999,0.000585333333333327,-0.450501244444444,0.421540023391813,2,2
51.05531,0.520032547961673,-0.0963026565153208,1.82744425731482,-0.843796757965864,0.5056,-0.460760888888889,0.154210646616541,9,2
148.8408582,1.623131698,-0.881591044,-0.594149789,0.09571216,-0.499804,-0.255484356,-0.016189935,4,8
105.9845351,-0.52394636,-0.881591044,-0.104277548,-0.12840342,0.500196,0.277848978,0.214386506,6,24
65.8297,1.79856630479317,-0.715559939142145,-0.349955307849646,-0.843796757965864,0.00559999999999983,-0.327427555555556,-0.199172812030075,8,6
100.8694,1.79856630479317,-0.796332628180427,2.1385013380526,-0.136340716230088,0.00559999999999983,-0.260760888888889,-0.0337592781954887,8,8
56.46941979,2.43413674416648,0.0661525245386686,-1.08376295928558,-0.858959849261904,0.500585333333333,0.116165422222222,0.206001176274018,3,19
148.8131579,1.45576187877595,1.14823241225355,-0.485193389910161,0.590436843101706,-0.499414666666667,0.349498755555556,-0.127332157059315,1,26
131.496301951418,1.43347578066276,-0.125710125205494,-0.596204557016686,0.170713335889931,0.000283999999999729,-0.327790488888889,-0.379952608187134,11,6
83.36773101,2.32906497,-0.857117335,0.097434551,-0.858678403,-0.499804,-0.488817689,-0.061302717,4,1
123.292262666152,1.43347578066276,-0.590627465403518,-0.0841886648484849,-0.00805094353743303,0.000283999999999729,-0.127790488888889,-0.309777169590643,11,12
65.8297,1.79856630479317,1.78839342104458,-0.816540928956316,-0.843796757965864,-0.4944,0.0392391111111111,-0.499924691729323,7,17
169.5449733,1.06260703857699,-0.139957930264167,-0.155980126753678,0.475821781533145,0.500585333333333,0.349498755555556,0.246101426900585,3,26
126.3401,1.79856630479317,-0.203999575233029,-0.816540928956316,0.258882288601951,0.5056,0.339239111111111,-0.0487968721804511,9,26
65.8297,1.79856630479317,-0.338620723630165,-1.00317517739898,-0.843796757965864,0.5056,-0.427427555555556,-0.266841984962406,9,3
125.6784,0.520032547961673,0.0113942622023878,-0.505483848218536,0.00298986899605195,0.00559999999999983,0.372572444444444,-0.246791859649123,8,27
136.5941,0.520032547961673,-0.392469182989019,-1.1275980096941,0.270617654337093,-0.4944,0.405905777777778,0.0965665363408521,7,28
330.6807,1.79856630479317,-0.580938790745009,0.17884172940458,3.21672202550249,0.00559999999999983,0.472572444444444,-0.108947248120301,8,30
207.3375,1.79856630479317,0.657575774508639,-1.00317517739898,1.30282864596696,-0.4944,0.172572444444444,0.467493854636591,7,21
88.47888449,1.623131698,-0.147379764,0.443226722,-0.29120557,0.000196,0.011182311,-0.321954346,5,16
87.38034,0.520032547961673,-0.177075345553602,-0.661012388587426,-0.558524804467439,0.00559999999999983,-0.327427555555556,-0.387142736842105,8,6
172.847216119033,0.510732219437912,-0.492750130624986,-0.295018738094215,0.836604515087384,0.500284,-0.461123822222222,-0.342358623224728,12,2
127.937317,0.0362422334517846,-0.21724935081523,0.382732485684202,0.228929277243176,0.500585333333333,-0.0171679111111111,-0.0747005781119465,3,15
57.5473070350005,2.1397629686138,-0.00336345673232946,1.33138468408713,-0.823823663451252,0.000283999999999729,0.405542844444444,-0.329827294903926,11,28
75.051796476034,0.958760224593795,-0.859790136044479,-0.987746121615899,-0.532338770251237,0.500284,0.272209511111111,0.419546138680033,12,24
